t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,4.023400000000000176e+01,3.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,4.023400000000000176e+01,3.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,4.023400000000000176e+01,3.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,4.036299999999999955e+01,3.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,4.036299999999999955e+01,3.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,4.036299999999999955e+01,3.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,4.049199999999999733e+01,3.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,4.052400000000000091e+01,3.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,4.055700000000000216e+01,3.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,4.055700000000000216e+01,3.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,4.055700000000000216e+01,7.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,4.055700000000000216e+01,7.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,4.055700000000000216e+01,7.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,4.055700000000000216e+01,7.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,4.062100000000000222e+01,7.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,4.055700000000000216e+01,7.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,4.062100000000000222e+01,7.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,4.062100000000000222e+01,7.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,4.071800000000000352e+01,7.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,4.078199999999999648e+01,7.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,4.081400000000000006e+01,7.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,4.087899999999999778e+01,7.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,4.087899999999999778e+01,7.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,4.087899999999999778e+01,7.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,4.087899999999999778e+01,7.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,4.087899999999999778e+01,7.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,4.087899999999999778e+01,7.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,4.087899999999999778e+01,7.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,4.087899999999999778e+01,3.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,4.091100000000000136e+01,3.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,4.094299999999999784e+01,3.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,4.107200000000000273e+01,3.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,4.116899999999999693e+01,3.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,3.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,3.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,3.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,3.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,3.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,3.000000000000000000e+01
