t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,4.800099999999999767e+01,5.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,4.800099999999999767e+01,5.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,4.800099999999999767e+01,5.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,4.800099999999999767e+01,5.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,4.803300000000000125e+01,5.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,4.800099999999999767e+01,5.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,4.809799999999999898e+01,5.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,4.806499999999999773e+01,5.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,4.800099999999999767e+01,5.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,4.800099999999999767e+01,5.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,4.800099999999999767e+01,5.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,4.816199999999999903e+01,5.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,4.806499999999999773e+01,5.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,4.803300000000000125e+01,5.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,4.803300000000000125e+01,5.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,4.813000000000000256e+01,5.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,4.803300000000000125e+01,5.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,4.813000000000000256e+01,5.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,4.813000000000000256e+01,5.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,4.819400000000000261e+01,5.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,4.819400000000000261e+01,5.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,4.822699999999999676e+01,5.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,4.822699999999999676e+01,5.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,4.825900000000000034e+01,5.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,4.825900000000000034e+01,5.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
